date,U2,Rn,Pa,q,Tair,PET
2017-11-14,2.20598210351877,-59.294929504395,94.645033203125,0.000647871711407788,-16.45615234375,-0.0675151108312323
2017-11-15,1.40055389292782,-53.525897979737,94.6695625,0.000562832821742632,-18.61049118042,-0.0986382544006342
2017-11-16,1.13683347575531,-47.893825531006,94.936216796875,0.000610684975981712,-18.912847900391,-0.114770857380908
2017-11-17,1.3386419753226,-59.5627784729,95.298443359375,0.000447518686996773,-21.428503417969,-0.121769993917623
2017-11-18,1.43755727903956,-55.466827392578,95.052607421875,0.000391844776459038,-22.767012023926,-0.0878556315532364
2017-11-19,1.52419731706029,-55.721626281738,94.79937109375,0.000469873506517615,-21.524839782715,-0.110125422721086
2017-11-20,1.25270920763456,-41.358028411865,93.895677734375,0.000791389960795641,-17.38104095459,-0.126441714496277
2017-11-21,0.759457473846489,-53.655529022216,93.939619140625,0.000965327344601974,-14.923025512695,-0.251310924718845
2017-11-22,1.26609335004715,-58.249332427978,94.242359375,0.00067533046239987,-18.128885650635,-0.184172686184014
2017-11-23,1.51672739268806,-65.181900024415,94.576017578125,0.000464571021439042,-21.046476745605,-0.143444288100138
2017-11-24,1.51418822447289,-66.055416107177,94.4653671875,0.000315416524244938,-24.401602172852,-0.103510255452551
2017-11-25,1.29661236692708,-62.972332000732,94.48474609375,0.000326669825881254,-25.040930175781,-0.114348054861518
2017-11-26,1.09679897403655,-22.072784423828,93.25955859375,0.000600709419813938,-20.457144165039,-0.0101531352120318
2017-11-27,1.62779379627497,-30.770687103271,93.956701171875,0.000650007001240738,-19.058802032471,-0.0225116178714709
2017-11-28,2.40916968127404,-50.668384552002,94.8409609375,0.000284170400846051,-25.183283233643,0.000412561994721533
2017-11-29,1.77450719242561,-61.817943572998,95.188373046875,0.000286412454443052,-25.917024993896,-0.0779973314378047
2017-11-30,1.15852792588282,-58.765140533447,94.820033203125,0.000355319134541787,-24.560137176514,-0.114915312611561
2017-12-01,1.28307337759311,-65.781925201416,94.630755859375,0.000366526008292567,-24.750654602051,-0.14521510617346
2017-12-02,1.29473202025252,-64.191974639893,94.907708984375,0.000350885064108297,-24.904470825195,-0.13141760381838
2017-12-03,1.39241761605721,-65.081562042236,95.064173828125,0.000321658779284917,-25.742182159424,-0.122425394742704
2017-12-04,1.52049711567012,-65.119594573975,94.6078671875,0.000304415341815911,-25.917837524414,-0.109744659401426
2017-12-05,1.17207611110956,-60.612178802491,94.31600390625,0.00038322749605868,-24.229334259033,-0.133444885845027
2017-12-06,1.21369888690375,-64.293781280518,95.04233203125,0.00038735699490644,-24.050959014893,-0.146670024110502
2017-12-07,1.04421715650543,-44.915225982666,94.5490546875,0.000489712503622286,-22.63775100708,-0.109601695530354
2017-12-08,1.06595459005641,-43.388454437256,94.127783203125,0.000584682056796737,-20.977541351318,-0.121790850269106
2017-12-09,2.08858337989462,-56.284755706787,94.8618515625,0.000370119298167992,-23.84095993042,-0.0695814428994935
2017-12-10,2.95142832644954,-52.525127410888,95.60469921875,0.000215400799788767,-26.470831298828,0.0459037927704195
2017-12-11,2.83401040497743,-58.530162811279,95.70091015625,0.000275996149866842,-25.732920074463,-0.015722890249066
2017-12-12,2.21939319794741,-70.32279586792,95.771970703125,0.000344783591572195,-24.161817932129,-0.106673898606528
2017-12-13,1.58199440032558,-69.188892364502,95.875615234375,0.000397140152927022,-22.666716003418,-0.14135904014783
2017-12-14,1.41329442777754,-60.497734069825,95.41590625,0.000421801290940493,-22.27943649292,-0.120789327177236
2017-12-15,2.09475673633962,-60.266120910645,95.277814453125,0.000471664672659244,-22.122007751465,-0.121783760423221
2017-12-16,1.42717769995606,-59.200080871582,94.785505859375,0.000474004838906694,-22.266401672363,-0.14507345878237
2017-12-17,1.98324037513084,-64.726192474365,94.69585546875,0.000430024672823492,-22.841650390625,-0.130590406985746
2017-12-18,2.10060010882304,-66.608211517334,95.048521484375,0.000327535024553072,-24.665953063965,-0.0930936491007121
2017-12-19,1.8294471822571,-60.289226531983,94.61245703125,0.000481131071865093,-22.276399993896,-0.140505013481592
2017-12-20,1.67005214189854,-54.107864379883,93.708740234375,0.000786657066782937,-18.415193939209,-0.214020713569356
2017-12-21,1.22597449071789,-64.338779449463,94.101783203125,0.000954702991293743,-15.9170135498049,-0.321992603729662
2017-12-22,0.997219820416665,-59.69397354126,94.36432421875,0.000858812767546624,-17.157801055908,-0.277923169023704
2017-12-23,1.18958223700082,-71.665637969971,94.723244140625,0.000592946540564299,-20.290502929687,-0.251397902328673
2017-12-24,1.29139945517366,-68.405158996582,94.82347265625,0.000429346408054698,-23.338259124756,-0.176951137589959
2017-12-25,2.41864189684586,-70.814830780029,95.21996484375,0.000256496507063275,-26.097105407715,-0.0642919015272809
2017-12-26,2.28328766110981,-66.827461242676,95.356255859375,0.000294335077342112,-26.146994018555,-0.0864264740597323
2017-12-27,1.71850034881638,-65.899520874023,95.23287890625,0.000353999821527395,-24.197367095947,-0.11626965751046
2017-12-28,1.65492988660938,-64.469528198242,95.727275390625,0.000386106788937468,-22.314478302002,-0.105363499400925
2017-12-29,0.885935923963247,-53.962219238282,95.887244140625,0.000570360978599638,-19.213846588135,-0.14619511880621
2017-12-30,1.17947603377019,-42.197273254394,95.442779296875,0.000845794784254395,-17.184343719482,-0.160309345286818
2017-12-31,1.09999474655756,-36.732204437256,95.30492578125,0.000979056028882042,-15.927366638184,-0.157515899813886
2018-01-01,2.68033798083826,-49.347526550293,95.49876953125,0.000842082474264316,-15.841898345947,-0.0872280034823042
2018-01-02,2.8088523491435,-57.876811981201,95.890966796875,0.000648771529085934,-18.080107116699,-0.0858543239480343
2018-01-03,2.37709365065881,-53.596664428711,95.64840625,0.000800689769675955,-16.649992370605,-0.137219129819352
2018-01-04,2.08554091080432,-55.404022216796,94.879259765625,0.000870082381879911,-16.45330657959,-0.19950409795385
2018-01-05,1.98326234189525,-58.476070404052,94.428205078125,0.000830879871500656,-16.713430786133,-0.205966718072925
2018-01-06,1.68125784101827,-53.281188964844,94.088275390625,0.000900570827070624,-16.009764099121,-0.203463694051118
2018-01-07,1.22320511501554,-60.161273956299,94.179638671875,0.00079089094651863,-17.52446975708,-0.245813240593361
2018-01-08,1.99129503983702,-68.461101531983,94.2876953125,0.000532772959559225,-21.224932098389,-0.185425590073288
2018-01-09,3.33499786325748,-65.839065551758,94.87421875,0.000261165227129823,-25.311113739014,0.00418497825281555
2018-01-10,2.21492729224319,-65.064098358154,95.3949375,0.000277214792731684,-26.758943939209,-0.079160575270738
2018-01-11,1.69490317166178,-49.579444885254,94.73442578125,0.000402162404498085,-24.105577850342,-0.0839370347862891
2018-01-12,0.991711795293345,-53.536380767822,94.914935546875,0.000549816220882349,-21.183016204834,-0.159054100260264
2018-01-13,0.536535559416478,-36.424781799316,94.101861328125,0.000731080712284893,-18.889337921143,-0.130041849383329
2018-01-14,1.25505914469632,-62.389858245849,94.467591796875,0.000695409325999208,-19.260424041748,-0.240502437222892
2018-01-15,1.48237361180383,-61.553703308105,94.3234609375,0.000602079497184604,-20.668257141113,-0.201984290488746
2018-01-16,1.13478028850021,-53.967445373535,93.992345703125,0.000592322772718035,-20.95980682373,-0.174570724258624
2018-01-17,0.991563696107982,-62.758972167968,94.04839453125,0.000505164534843061,-22.474638366699,-0.194149368520846
2018-01-18,0.956442376565097,-52.400062561035,94.059412109375,0.000482186223962344,-22.845873260498,-0.142983790290302
2018-01-19,2.70215759126873,-40.298316955566,94.430796875,0.000388449072488584,-24.222811126709,-0.00895678940516789
2018-01-20,2.98450565495069,-59.043022155761,95.222015625,0.000178116442839382,-28.817407989502,0.0129858797058227
2018-01-21,2.57641673224243,-60.046752929687,94.994501953125,0.000149696104926988,-31.17811050415,-0.0131703347883242
2018-01-22,2.44848658679144,-61.131237030029,94.620359375,0.000149650357343489,-32.072019958496,-0.0290804584035654
2018-01-23,1.80560670437458,-56.993690490723,94.9221015625,0.000170004208484897,-31.565725708008,-0.0451783953158126
2018-01-24,1.93981517895857,-58.896293640137,95.835357421875,0.000169513808941701,-31.478536987305,-0.0452646548655934
2018-01-25,2.43976941139946,-54.244747161865,96.17709765625,0.000186946308531333,-30.190348052978,-0.0214501341513679
2018-01-26,2.84279490816079,-48.310222625732,95.552623046875,0.000206708642508602,-28.908827209473,0.00955945292890439
2018-01-27,2.32503544647694,-45.02282333374,94.584712890625,0.000323690779623576,-26.209379577637,-0.0361138314541299
2018-01-28,2.60323936732662,-53.320457458496,94.354615234375,0.00032834578451002,-25.187868499756,-0.0368145973544516
2018-01-29,2.37019076577176,-50.416110992431,94.2121875,0.000373548726201989,-24.309965515137,-0.0489772025765322
2018-01-30,1.8427542643001,-50.519462585449,94.660298828125,0.000423142417275813,-22.991567993164,-0.0742234184315904
2018-01-31,1.41419488399447,-48.168331146241,95.01246484375,0.000489313621073961,-21.656687164307,-0.0940932722409627
2018-02-01,1.36646949258719,-49.875991821289,95.9073671875,0.000474140739243012,-21.840753936768,-0.0990839694079533
2018-02-02,1.48007985547766,-53.087680816651,96.13511328125,0.000417656665376853,-22.964331054687,-0.0953786385492538
